graph,t,r,round,active,new,new_local,new_global,new_both
T=0.01,0.01,30,79,16598,1053,1036,17,0
T=0.01,0.01,30,80,17850,1252,1236,16,0
T=0.01,0.01,30,81,19373,1523,1495,28,0
T=0.01,0.01,30,82,21271,1898,1862,36,0
T=0.01,0.01,30,83,23708,2437,2360,77,0
T=0.01,0.01,30,84,27023,3315,3162,153,0
T=0.01,0.01,30,85,31993,4970,4569,401,0
T=0.01,0.01,30,86,41726,9733,7560,2171,2
T=0.01,0.01,30,87,75248,33522,18927,14468,127
T=0.01,0.01,30,88,281800,206552,77920,123202,5430
T=0.01,0.01,30,89,992402,710602,157944,314078,238580
T=0.01,0.01,30,90,1000000,7598,1067,0,6531
T=0.2,0.2,30,0,1,1,1,0,0
T=0.2,0.2,30,1,5,4,4,0,0
T=0.2,0.2,30,2,13,8,8,0,0
T=0.2,0.2,30,3,25,12,12,0,0
T=0.2,0.2,30,4,41,16,16,0,0
T=0.2,0.2,30,5,61,20,20,0,0
T=0.2,0.2,30,6,85,24,24,0,0
T=0.2,0.2,30,7,113,28,28,0,0
T=0.2,0.2,30,8,145,32,32,0,0
T=0.2,0.2,30,9,181,36,36,0,0
T=0.2,0.2,30,10,221,40,40,0,0
T=0.2,0.2,30,11,265,44,44,0,0
T=0.2,0.2,30,12,313,48,48,0,0
T=0.2,0.2,30,13,365,52,52,0,0
T=0.2,0.2,30,14,421,56,56,0,0
T=0.2,0.2,30,15,481,60,60,0,0
T=0.2,0.2,30,16,545,64,64,0,0
T=0.2,0.2,30,17,613,68,68,0,0
T=0.2,0.2,30,18,685,72,72,0,0
T=0.2,0.2,30,19,761,76,76,0,0
T=0.2,0.2,30,20,841,80,80,0,0
T=0.2,0.2,30,21,925,84,84,0,0
T=0.2,0.2,30,22,1013,88,88,0,0
T=0.2,0.2,30,23,1105,92,92,0,0
T=0.2,0.2,30,24,1201,96,96,0,0
T=0.2,0.2,30,25,1301,100,100,0,0
T=0.2,0.2,30,26,1405,104,104,0,0
T=0.2,0.2,30,27,1513,108,108,0,0
T=0.2,0.2,30,28,1625,112,112,0,0
T=0.2,0.2,30,29,1741,116,116,0,0
T=0.2,0.2,30,30,1861,120,120,0,0
T=0.2,0.2,30,31,1985,124,124,0,0
T=0.2,0.2,30,32,2113,128,128,0,0
T=0.2,0.2,30,33,2245,132,132,0,0
T=0.2,0.2,30,34,2381,136,136,0,0
T=0.2,0.2,30,35,2521,140,140,0,0
T=0.2,0.2,30,36,2665,144,144,0,0
T=0.2,0.2,30,37,2813,148,148,0,0
T=0.2,0.2,30,38,2965,152,152,0,0
T=0.2,0.2,30,39,3121,156,156,0,0
T=0.2,0.2,30,40,3281,160,160,0,0
T=0.2,0.2,30,41,3445,164,164,0,0
T=0.2,0.2,30,42,3613,168,168,0,0
T=0.2,0.2,30,43,3785,172,172,0,0
T=0.2,0.2,30,44,3961,176,176,0,0
T=0.2,0.2,30,45,4141,180,180,0,0
T=0.2,0.2,30,46,4325,184,184,0,0
T=0.2,0.2,30,47,4513,188,188,0,0
T=0.2,0.2,30,48,4705,192,192,0,0
T=0.2,0.2,30,49,4901,196,196,0,0
T=0.2,0.2,30,50,5101,200,200,0,0
T=0.2,0.2,30,51,5305,204,204,0,0
T=0.2,0.2,30,52,5513,208,208,0,0
T=0.2,0.2,30,53,5725,212,212,0,0
T=0.2,0.2,30,54,5941,216,216,0,0
T=0.2,0.2,30,55,6161,220,220,0,0
T=0.2,0.2,30,56,6385,224,224,0,0
T=0.2,0.2,30,57,6613,228,228,0,0
T=0.2,0.2,30,58,6845,232,232,0,0
T=0.2,0.2,30,59,7081,236,236,0,0
T=0.2,0.2,30,60,7321,240,240,0,0
T=0.2,0.2,30,61,7567,246,244,2,0
T=0.2,0.2,30,62,7823,256,256,0,0
T=0.2,0.2,30,63,8091,268,268,0,0
T=0.2,0.2,30,64,8371,280,280,0,0
T=0.2,0.2,30,65,8663,292,292,0,0
T=0.2,0.2,30,66,8967,304,304,0,0
T=0.2,0.2,30,67,9283,316,316,0,0
T=0.2,0.2,30,68,9611,328,328,0,0
T=0.2,0.2,30,69,9953,342,340,2,0
T=0.2,0.2,30,70,10314,361,360,1,0
T=0.2,0.2,30,71,10698,384,384,0,0
T=0.2,0.2,30,72,11106,408,408,0,0
T=0.2,0.2,30,73,11540,434,432,2,0
T=0.2,0.2,30,74,12005,465,464,1,0
T=0.2,0.2,30,75,12507,502,500,2,0
T=0.2,0.2,30,76,13054,547,544,3,0
T=0.2,0.2,30,77,13652,598,597,1,0
T=0.2,0.2,30,78,14310,658,653,5,0
T=0.2,0.2,30,79,15043,733,729,4,0
T=0.2,0.2,30,80,15870,827,821,6,0
T=0.2,0.2,30,81,16820,950,936,13,1
T=0.2,0.2,30,82,17936,1116,1105,11,0
T=0.2,0.2,30,83,19265,1329,1315,14,0
T=0.2,0.2,30,84,20870,1605,1579,26,0
T=0.2,0.2,30,85,22872,2002,1943,59,0
T=0.2,0.2,30,86,25521,2649,2538,110,1
T=0.2,0.2,30,87,29352,3831,3566,264,1
T=0.2,0.2,30,88,36369,7017,5618,1397,2
T=0.2,0.2,30,89,56202,19833,13139,6648,46
T=0.2,0.2,30,90,138862,82660,44974,36895,791
T=0.2,0.2,30,91,729268,590406,140942,397804,51660
T=0.2,0.2,30,92,1000000,270732,41028,4674,225030
T=0.4,0.4,30,0,1,1,1,0,0
T=0.4,0.4,30,1,5,4,4,0,0
T=0.4,0.4,30,2,13,8,8,0,0
T=0.4,0.4,30,3,25,12,12,0,0
T=0.4,0.4,30,4,41,16,16,0,0
T=0.4,0.4,30,5,61,20,20,0,0
T=0.4,0.4,30,6,85,24,24,0,0
T=0.4,0.4,30,7,113,28,28,0,0
T=0.4,0.4,30,8,145,32,32,0,0
T=0.4,0.4,30,9,181,36,36,0,0
T=0.4,0.4,30,10,221,40,40,0,0
T=0.4,0.4,30,11,265,44,44,0,0
T=0.4,0.4,30,12,313,48,48,0,0
T=0.4,0.4,30,13,365,52,52,0,0
T=0.4,0.4,30,14,421,56,56,0,0
T=0.4,0.4,30,15,481,60,60,0,0
T=0.4,0.4,30,16,545,64,64,0,0
T=0.4,0.4,30,17,613,68,68,0,0
T=0.4,0.4,30,18,685,72,72,0,0
T=0.4,0.4,30,19,761,76,76,0,0
T=0.4,0.4,30,20,841,80,80,0,0
T=0.4,0.4,30,21,925,84,84,0,0
T=0.4,0.4,30,22,1013,88,88,0,0
T=0.4,0.4,30,23,1105,92,92,0,0
T=0.4,0.4,30,24,1201,96,96,0,0
T=0.4,0.4,30,25,1301,100,100,0,0
T=0.4,0.4,30,26,1405,104,104,0,0
T=0.4,0.4,30,27,1513,108,108,0,0
T=0.4,0.4,30,28,1625,112,112,0,0
T=0.4,0.4,30,29,1741,116,116,0,0
T=0.4,0.4,30,30,1861,120,120,0,0
T=0.4,0.4,30,31,1985,124,124,0,0
T=0.4,0.4,30,32,2113,128,128,0,0
T=0.4,0.4,30,33,2245,132,132,0,0
T=0.4,0.4,30,34,2381,136,136,0,0
T=0.4,0.4,30,35,2521,140,140,0,0
T=0.4,0.4,30,36,2665,144,144,0,0
T=0.4,0.4,30,37,2813,148,148,0,0
T=0.4,0.4,30,38,2965,152,152,0,0
T=0.4,0.4,30,39,3121,156,156,0,0
T=0.4,0.4,30,40,3281,160,160,0,0
T=0.4,0.4,30,41,3445,164,164,0,0
T=0.4,0.4,30,42,3613,168,168,0,0
T=0.4,0.4,30,43,3785,172,172,0,0
T=0.4,0.4,30,44,3961,176,176,0,0
T=0.4,0.4,30,45,4141,180,180,0,0
T=0.4,0.4,30,46,4325,184,184,0,0
T=0.4,0.4,30,47,4513,188,188,0,0
T=0.4,0.4,30,48,4705,192,192,0,0
T=0.4,0.4,30,49,4901,196,196,0,0
T=0.4,0.4,30,50,5101,200,200,0,0
T=0.4,0.4,30,51,5305,204,204,0,0
T=0.4,0.4,30,52,5513,208,208,0,0
T=0.4,0.4,30,53,5725,212,212,0,0
T=0.4,0.4,30,54,5941,216,216,0,0
T=0.4,0.4,30,55,6162,221,220,1,0
T=0.4,0.4,30,56,6390,228,228,0,0
T=0.4,0.4,30,57,6626,236,236,0,0
T=0.4,0.4,30,58,6870,244,244,0,0
T=0.4,0.4,30,59,7122,252,252,0,0
T=0.4,0.4,30,60,7382,260,260,0,0
T=0.4,0.4,30,61,7650,268,268,0,0
T=0.4,0.4,30,62,7926,276,276,0,0
T=0.4,0.4,30,63,8210,284,284,0,0
T=0.4,0.4,30,64,8502,292,292,0,0
T=0.4,0.4,30,65,8803,301,300,1,0
T=0.4,0.4,30,66,9115,312,312,0,0
T=0.4,0.4,30,67,9439,324,324,0,0
T=0.4,0.4,30,68,9775,336,336,0,0
T=0.4,0.4,30,69,10125,350,348,2,0
T=0.4,0.4,30,70,10493,368,368,0,0
T=0.4,0.4,30,71,10881,388,388,0,0
T=0.4,0.4,30,72,11289,408,408,0,0
T=0.4,0.4,30,73,11720,431,428,3,0
T=0.4,0.4,30,74,12181,461,460,1,0
T=0.4,0.4,30,75,12677,496,496,0,0
T=0.4,0.4,30,76,13211,534,532,2,0
T=0.4,0.4,30,77,13790,579,576,3,0
T=0.4,0.4,30,78,14425,635,632,3,0
T=0.4,0.4,30,79,15132,707,700,7,0
T=0.4,0.4,30,80,15937,805,796,9,0
T=0.4,0.4,30,81,16869,932,928,4,0
T=0.4,0.4,30,82,17957,1088,1075,12,1
T=0.4,0.4,30,83,19252,1295,1272,23,0
T=0.4,0.4,30,84,20847,1595,1558,37,0
T=0.4,0.4,30,85,22894,2047,1990,57,0
T=0.4,0.4,30,86,25659,2765,2650,115,0
T=0.4,0.4,30,87,29689,4030,3762,268,0
T=0.4,0.4,30,88,36397,6708,5934,772,2
T=0.4,0.4,30,89,52280,15883,11133,4736,14
T=0.4,0.4,30,90,123831,71551,33942,37028,581
T=0.4,0.4,30,91,645145,521314,137657,342426,41231
T=0.4,0.4,30,92,1000000,354855,60661,15886,278308
T=0.6,0.6,30,0,1,1,1,0,0
T=0.6,0.6,30,1,5,4,4,0,0
T=0.6,0.6,30,2,13,8,8,0,0
T=0.6,0.6,30,3,25,12,12,0,0
T=0.6,0.6,30,4,41,16,16,0,0
T=0.6,0.6,30,5,61,20,20,0,0
T=0.6,0.6,30,6,85,24,24,0,0
T=0.6,0.6,30,7,113,28,28,0,0
T=0.6,0.6,30,8,145,32,32,0,0
T=0.6,0.6,30,9,181,36,36,0,0
T=0.6,0.6,30,10,221,40,40,0,0
T=0.6,0.6,30,11,265,44,44,0,0
T=0.6,0.6,30,12,313,48,48,0,0
T=0.6,0.6,30,13,365,52,52,0,0
T=0.6,0.6,30,14,421,56,56,0,0
T=0.6,0.6,30,15,481,60,60,0,0
T=0.6,0.6,30,16,545,64,64,0,0
T=0.6,0.6,30,17,613,68,68,0,0
T=0.6,0.6,30,18,685,72,72,0,0
T=0.6,0.6,30,19,761,76,76,0,0
T=0.6,0.6,30,20,841,80,80,0,0
T=0.6,0.6,30,21,925,84,84,0,0
T=0.6,0.6,30,22,1013,88,88,0,0
T=0.6,0.6,30,23,1105,92,92,0,0
T=0.6,0.6,30,24,1201,96,96,0,0
T=0.6,0.6,30,25,1301,100,100,0,0
T=0.6,0.6,30,26,1405,104,104,0,0
T=0.6,0.6,30,27,1513,108,108,0,0
T=0.6,0.6,30,28,1625,112,112,0,0
T=0.6,0.6,30,29,1741,116,116,0,0
T=0.6,0.6,30,30,1861,120,120,0,0
T=0.6,0.6,30,31,1985,124,124,0,0
T=0.6,0.6,30,32,2113,128,128,0,0
T=0.6,0.6,30,33,2245,132,132,0,0
T=0.6,0.6,30,34,2381,136,136,0,0
T=0.6,0.6,30,35,2521,140,140,0,0
T=0.6,0.6,30,36,2665,144,144,0,0
T=0.6,0.6,30,37,2813,148,148,0,0
T=0.6,0.6,30,38,2965,152,152,0,0
T=0.6,0.6,30,39,3121,156,156,0,0
T=0.6,0.6,30,40,3281,160,160,0,0
T=0.6,0.6,30,41,3445,164,164,0,0
T=0.6,0.6,30,42,3613,168,168,0,0
T=0.6,0.6,30,43,3785,172,172,0,0
T=0.6,0.6,30,44,3961,176,176,0,0
T=0.6,0.6,30,45,4141,180,180,0,0
T=0.6,0.6,30,46,4325,184,184,0,0
T=0.6,0.6,30,47,4513,188,188,0,0
T=0.6,0.6,30,48,4705,192,192,0,0
T=0.6,0.6,30,49,4901,196,196,0,0
T=0.6,0.6,30,50,5101,200,200,0,0
T=0.6,0.6,30,51,5305,204,204,0,0
T=0.6,0.6,30,52,5513,208,208,0,0
T=0.6,0.6,30,53,5725,212,212,0,0
T=0.6,0.6,30,54,5941,216,216,0,0
T=0.6,0.6,30,55,6161,220,220,0,0
T=0.6,0.6,30,56,6385,224,224,0,0
T=0.6,0.6,30,57,6613,228,228,0,0
T=0.6,0.6,30,58,6845,232,232,0,0
T=0.6,0.6,30,59,7081,236,236,0,0
T=0.6,0.6,30,60,7321,240,240,0,0
T=0.6,0.6,30,61,7565,244,244,0,0
T=0.6,0.6,30,62,7813,248,248,0,0
T=0.6,0.6,30,63,8065,252,252,0,0
T=0.6,0.6,30,64,8321,256,256,0,0
T=0.6,0.6,30,65,8581,260,260,0,0
T=0.6,0.6,30,66,8845,264,264,0,0
T=0.6,0.6,30,67,9113,268,268,0,0
T=0.6,0.6,30,68,9386,273,272,1,0
T=0.6,0.6,30,69,9666,280,280,0,0
T=0.6,0.6,30,70,9954,288,288,0,0
T=0.6,0.6,30,71,10252,298,296,2,0
T=0.6,0.6,30,72,10564,312,312,0,0
T=0.6,0.6,30,73,10893,329,328,1,0
T=0.6,0.6,30,74,11242,349,348,1,0
T=0.6,0.6,30,75,11614,372,372,0,0
T=0.6,0.6,30,76,12012,398,396,2,0
T=0.6,0.6,30,77,12443,431,428,3,0
T=0.6,0.6,30,78,12916,473,472,1,0
T=0.6,0.6,30,79,13438,522,520,2,0
T=0.6,0.6,30,80,14016,578,576,2,0
T=0.6,0.6,30,81,14660,644,640,4,0
T=0.6,0.6,30,82,15386,726,720,6,0
T=0.6,0.6,30,83,16216,830,824,6,0
T=0.6,0.6,30,84,17177,961,952,9,0
T=0.6,0.6,30,85,18310,1133,1116,17,0
T=0.6,0.6,30,86,19687,1377,1347,29,1
T=0.6,0.6,30,87,21418,1731,1696,35,0
T=0.6,0.6,30,88,23668,2250,2183,66,1
T=0.6,0.6,30,89,26749,3081,2933,148,0
T=0.6,0.6,30,90,31332,4583,4262,317,4
T=0.6,0.6,30,91,39291,7959,6835,1118,6
T=0.6,0.6,30,92,60430,21139,13703,7387,49
T=0.6,0.6,30,93,172885,112455,47027,63934,1494
T=0.6,0.6,30,94,919567,746682,144691,479713,122278
T=0.6,0.6,30,95,1000000,80433,10189,16,70228
T=0.7,0.7,30,0,1,1,1,0,0
T=0.7,0.7,30,1,5,4,4,0,0
T=0.7,0.7,30,2,13,8,8,0,0
T=0.7,0.7,30,3,25,12,12,0,0
T=0.7,0.7,30,4,41,16,16,0,0
T=0.7,0.7,30,5,61,20,20,0,0
T=0.7,0.7,30,6,85,24,24,0,0
T=0.7,0.7,30,7,113,28,28,0,0
T=0.7,0.7,30,8,145,32,32,0,0
T=0.7,0.7,30,9,181,36,36,0,0
T=0.7,0.7,30,10,221,40,40,0,0
T=0.7,0.7,30,11,265,44,44,0,0
T=0.7,0.7,30,12,313,48,48,0,0
T=0.7,0.7,30,13,365,52,52,0,0
T=0.7,0.7,30,14,421,56,56,0,0
T=0.7,0.7,30,15,481,60,60,0,0
T=0.7,0.7,30,16,545,64,64,0,0
T=0.7,0.7,30,17,613,68,68,0,0
T=0.7,0.7,30,18,685,72,72,0,0
T=0.7,0.7,30,19,761,76,76,0,0
T=0.7,0.7,30,20,841,80,80,0,0
T=0.7,0.7,30,21,925,84,84,0,0
T=0.7,0.7,30,22,1013,88,88,0,0
T=0.7,0.7,30,23,1105,92,92,0,0
T=0.7,0.7,30,24,1201,96,96,0,0
T=0.7,0.7,30,25,1301,100,100,0,0
T=0.7,0.7,30,26,1405,104,104,0,0
T=0.7,0.7,30,27,1513,108,108,0,0
T=0.7,0.7,30,28,1625,112,112,0,0
T=0.7,0.7,30,29,1741,116,116,0,0
T=0.7,0.7,30,30,1861,120,120,0,0
T=0.7,0.7,30,31,1985,124,124,0,0
T=0.7,0.7,30,32,2113,128,128,0,0
T=0.7,0.7,30,33,2245,132,132,0,0
T=0.7,0.7,30,34,2381,136,136,0,0
T=0.7,0.7,30,35,2521,140,140,0,0
T=0.7,0.7,30,36,2665,144,144,0,0
T=0.7,0.7,30,37,2813,148,148,0,0
T=0.7,0.7,30,38,2965,152,152,0,0
T=0.7,0.7,30,39,3121,156,156,0,0
T=0.7,0.7,30,40,3281,160,160,0,0
T=0.7,0.7,30,41,3445,164,164,0,0
T=0.7,0.7,30,42,3613,168,168,0,0
T=0.7,0.7,30,43,3785,172,172,0,0
T=0.7,0.7,30,44,3961,176,176,0,0
T=0.7,0.7,30,45,4141,180,180,0,0
T=0.7,0.7,30,46,4325,184,184,0,0
T=0.7,0.7,30,47,4513,188,188,0,0
T=0.7,0.7,30,48,4705,192,192,0,0
T=0.7,0.7,30,49,4901,196,196,0,0
T=0.7,0.7,30,50,5101,200,200,0,0
T=0.7,0.7,30,51,5305,204,204,0,0
T=0.7,0.7,30,52,5513,208,208,0,0
T=0.7,0.7,30,53,5725,212,212,0,0
T=0.7,0.7,30,54,5941,216,216,0,0
T=0.7,0.7,30,55,6161,220,220,0,0
T=0.7,0.7,30,56,6386,225,224,1,0
T=0.7,0.7,30,57,6618,232,232,0,0
T=0.7,0.7,30,58,6858,240,240,0,0
T=0.7,0.7,30,59,7106,248,248,0,0
T=0.7,0.7,30,60,7362,256,256,0,0
T=0.7,0.7,30,61,7626,264,264,0,0
T=0.7,0.7,30,62,7899,273,272,1,0
T=0.7,0.7,30,63,8183,284,284,0,0
T=0.7,0.7,30,64,8479,296,296,0,0
T=0.7,0.7,30,65,8787,308,308,0,0
T=0.7,0.7,30,66,9107,320,320,0,0
T=0.7,0.7,30,67,9440,333,332,1,0
T=0.7,0.7,30,68,9790,350,348,2,0
T=0.7,0.7,30,69,10163,373,372,1,0
T=0.7,0.7,30,70,10563,400,400,0,0
T=0.7,0.7,30,71,10993,430,428,2,0
T=0.7,0.7,30,72,11459,466,464,2,0
T=0.7,0.7,30,73,11967,508,508,0,0
T=0.7,0.7,30,74,12526,559,552,7,0
T=0.7,0.7,30,75,13150,624,624,0,0
T=0.7,0.7,30,76,13848,698,696,2,0
T=0.7,0.7,30,77,14633,785,776,9,0
T=0.7,0.7,30,78,15526,893,892,1,0
T=0.7,0.7,30,79,16543,1017,1012,5,0
T=0.7,0.7,30,80,17700,1157,1152,5,0
T=0.7,0.7,30,81,19028,1328,1307,21,0
T=0.7,0.7,30,82,20602,1574,1544,30,0
T=0.7,0.7,30,83,22556,1954,1897,57,0
T=0.7,0.7,30,84,25122,2566,2466,100,0
T=0.7,0.7,30,85,28718,3596,3415,181,0
T=0.7,0.7,30,86,34260,5542,5071,470,1
T=0.7,0.7,30,87,44360,10100,8530,1562,8
T=0.7,0.7,30,88,72620,28260,17969,10222,69
T=0.7,0.7,30,89,293972,221352,60600,156007,4745
T=0.7,0.7,30,90,999582,705610,100669,278988,325953
T=0.7,0.7,30,91,1000000,418,50,0,368
T=0.8,0.8,30,0,1,1,1,0,0
T=0.8,0.8,30,1,5,4,4,0,0
T=0.8,0.8,30,2,13,8,8,0,0
T=0.8,0.8,30,3,25,12,12,0,0
T=0.8,0.8,30,4,41,16,16,0,0
T=0.8,0.8,30,5,61,20,20,0,0
T=0.8,0.8,30,6,85,24,24,0,0
T=0.8,0.8,30,7,113,28,28,0,0
T=0.8,0.8,30,8,145,32,32,0,0
T=0.8,0.8,30,9,181,36,36,0,0
T=0.8,0.8,30,10,221,40,40,0,0
T=0.8,0.8,30,11,265,44,44,0,0
T=0.8,0.8,30,12,313,48,48,0,0
T=0.8,0.8,30,13,365,52,52,0,0
T=0.8,0.8,30,14,421,56,56,0,0
T=0.8,0.8,30,15,481,60,60,0,0
T=0.8,0.8,30,16,545,64,64,0,0
T=0.8,0.8,30,17,613,68,68,0,0
T=0.8,0.8,30,18,685,72,72,0,0
T=0.8,0.8,30,19,761,76,76,0,0
T=0.8,0.8,30,20,841,80,80,0,0
T=0.8,0.8,30,21,925,84,84,0,0
T=0.8,0.8,30,22,1013,88,88,0,0
T=0.8,0.8,30,23,1105,92,92,0,0
T=0.8,0.8,30,24,1201,96,96,0,0
T=0.8,0.8,30,25,1301,100,100,0,0
T=0.8,0.8,30,26,1405,104,104,0,0
T=0.8,0.8,30,27,1513,108,108,0,0
T=0.8,0.8,30,28,1625,112,112,0,0
T=0.8,0.8,30,29,1741,116,116,0,0
T=0.8,0.8,30,30,1861,120,120,0,0
T=0.8,0.8,30,31,1985,124,124,0,0
T=0.8,0.8,30,32,2113,128,128,0,0
T=0.8,0.8,30,33,2245,132,132,0,0
T=0.8,0.8,30,34,2381,136,136,0,0
T=0.8,0.8,30,35,2521,140,140,0,0
T=0.8,0.8,30,36,2665,144,144,0,0
T=0.8,0.8,30,37,2813,148,148,0,0
T=0.8,0.8,30,38,2965,152,152,0,0
T=0.8,0.8,30,39,3121,156,156,0,0
T=0.8,0.8,30,40,3281,160,160,0,0
T=0.8,0.8,30,41,3445,164,164,0,0
T=0.8,0.8,30,42,3613,168,168,0,0
T=0.8,0.8,30,43,3785,172,172,0,0
T=0.8,0.8,30,44,3961,176,176,0,0
T=0.8,0.8,30,45,4141,180,180,0,0
T=0.8,0.8,30,46,4325,184,184,0,0
T=0.8,0.8,30,47,4513,188,188,0,0
T=0.8,0.8,30,48,4705,192,192,0,0
T=0.8,0.8,30,49,4901,196,196,0,0
T=0.8,0.8,30,50,5101,200,200,0,0
T=0.8,0.8,30,51,5305,204,204,0,0
T=0.8,0.8,30,52,5513,208,208,0,0
T=0.8,0.8,30,53,5725,212,212,0,0
T=0.8,0.8,30,54,5941,216,216,0,0
T=0.8,0.8,30,55,6161,220,220,0,0
T=0.8,0.8,30,56,6385,224,224,0,0
T=0.8,0.8,30,57,6613,228,228,0,0
T=0.8,0.8,30,58,6845,232,232,0,0
T=0.8,0.8,30,59,7081,236,236,0,0
T=0.8,0.8,30,60,7321,240,240,0,0
T=0.8,0.8,30,61,7566,245,244,1,0
T=0.8,0.8,30,62,7818,252,252,0,0
T=0.8,0.8,30,63,8078,260,260,0,0
T=0.8,0.8,30,64,8346,268,268,0,0
T=0.8,0.8,30,65,8622,276,276,0,0
T=0.8,0.8,30,66,8906,284,284,0,0
T=0.8,0.8,30,67,9199,293,292,1,0
T=0.8,0.8,30,68,9503,304,304,0,0
T=0.8,0.8,30,69,9819,316,316,0,0
T=0.8,0.8,30,70,10147,328,328,0,0
T=0.8,0.8,30,71,10487,340,340,0,0
T=0.8,0.8,30,72,10840,353,352,1,0
T=0.8,0.8,30,73,11208,368,368,0,0
T=0.8,0.8,30,74,11592,384,384,0,0
T=0.8,0.8,30,75,11993,401,400,1,0
T=0.8,0.8,30,76,12413,420,420,0,0
T=0.8,0.8,30,77,12853,440,440,0,0
T=0.8,0.8,30,78,13314,461,460,1,0
T=0.8,0.8,30,79,13799,485,484,1,0
T=0.8,0.8,30,80,14314,515,512,3,0
T=0.8,0.8,30,81,14872,558,552,6,0
T=0.8,0.8,30,82,15497,625,616,9,0
T=0.8,0.8,30,83,16221,724,716,8,0
T=0.8,0.8,30,84,17075,854,848,6,0
T=0.8,0.8,30,85,18091,1016,1004,12,0
T=0.8,0.8,30,86,19318,1227,1208,19,0
T=0.8,0.8,30,87,20837,1519,1488,31,0
T=0.8,0.8,30,88,22775,1938,1892,46,0
T=0.8,0.8,30,89,25358,2583,2478,105,0
T=0.8,0.8,30,90,28974,3616,3467,147,2
